Nom Utilisateur,Note,ID Film
z20101005120912040975241,5.0,10568
z20230506201011819891129,5.0,10568
z20080329124801187714838,5.0,10568
z20130713161035470867753,5.0,10568
z20180103011351860308632,5.0,10568
z20050417090054247813778,5.0,10568
z20080204182124630977268,5.0,10568
z20070810214732340671259,5.0,10568
z20161209162208020512269,5.0,10568
z20160212200805097975899,5.0,10568
z20170610215150260673815,5.0,10568
z20200307184114217262101,5.0,10568
z20110911192312063343373,5.0,10568
z20200727171606485614605,5.0,10568
z20091113080548813355274,5.0,10568
z20140326184436270936784,5.0,10568
z20151107005300020181155,5.0,10568
z20091102172522763753682,5.0,10568
z20181130191842380319159,5.0,10568
z20191029113723960566014,5.0,10568
z20111023234639793667895,5.0,10568
z20110724161338573222935,5.0,10568
z20150228104920940433417,5.0,10568
z20190411203311674561124,5.0,10568
z20150614153727993108848,5.0,10568
z20120516090532753205331,5.0,10568
z20170709114839527323633,5.0,10568
z20170717003854370601468,5.0,10568
z20180122185236460817886,5.0,10568
z20170625034242940697645,5.0,10568
z20180724204055107932936,5.0,10568
z20180204141845857135127,5.0,10568
z20171227202728840555521,5.0,10568
z20150611102648140178198,5.0,10568
z20110722102621460502768,5.0,10568
z20111210233739330608151,5.0,10568
z20160324192400560535292,5.0,10568
z20170108193301507354951,5.0,10568
z20150405110208810843637,5.0,10568
z20130805181427820682674,5.0,10568
z20130804141603107661268,5.0,10568
z20131020155906970272197,5.0,10568
z20140324162524883754462,5.0,10568
z20100214153018883302854,5.0,10568
z20040906134625217142423,5.0,10568
z20070501210827537495922,5.0,10568
z20100510124951590886379,5.0,10568
z20120715085310630477794,5.0,10568
z20150304183759300753849,5.0,10568
z20061221130659670562482,5.0,10568
z20081107234415893491184,5.0,10568
z20110907130528143201518,5.0,10568
z20140911133411827406656,5.0,10568
z20150621101535110551355,5.0,10568
z20130304203108777906398,5.0,10568
z20150321093207920732288,5.0,10568
z20080207171123347607438,5.0,10568
z20121107170947723701745,5.0,10568
z20060818004237467739319,5.0,10568
z20141115083814400458133,5.0,10568
z20140106184842703619977,5.0,10568
z20080304185158993234323,5.0,10568
z20130715204512200682659,5.0,10568
z20050403002630833604744,5.0,10568
z20120624230631180915168,5.0,10568
z20110717170436333359548,5.0,10568
z20101014094554153903669,5.0,10568
z20110628112840297655899,5.0,10568
z20131223192123433651566,5.0,10568
z20100609194409997978744,5.0,10568
z20120415214413460558192,5.0,10568
z20120617164850633481311,5.0,10568
z20110624203517947716343,5.0,10568
z20070228015331953348969,5.0,10568
z20110827204156793908029,5.0,10568
z20091019133018503822728,5.0,10568
z20110514193640503474719,5.0,10568
z20050609122548003743533,5.0,10568
z20120324151727660567292,5.0,10568
z20130513223835490486472,5.0,10568
z20100719145540520357232,5.0,10568
z20091229095621480997198,5.0,10568
z20060622125648277489327,5.0,10568
z20111104200006123581629,5.0,10568
z20080608021220147546755,5.0,10568
z20121226180301760912584,5.0,10568
z20090317151616687435481,5.0,10568
z20070805204153590494368,5.0,10568
z20080915134506200531819,5.0,10568
z20090728170525347712215,5.0,10568
z20121022182542230468657,5.0,10568
z20121109092642910334723,5.0,10568
z20111117132817183244497,5.0,10568
z20120318112307003102189,5.0,10568
z20061211223247607682175,5.0,10568
z20120725090855383599792,5.0,10568
z20120619131754800531284,5.0,10568
z20110302224523870332136,5.0,10568
